2026-05-28 14:53:31.783 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-05-28 14:53:31.892 [main] INFO  c.p.a.AccountServiceApplication - Starting AccountServiceApplication v0.1.0-SNAPSHOT using Java 21.0.11 with PID 15192 (D:\Workspace\TieuLuanTotNghiep\Application_PetCare\back_end\account_service\target\account_service-0.1.0-SNAPSHOT.jar started by lequo in D:\Workspace\TieuLuanTotNghiep\Application_PetCare)
2026-05-28 14:53:31.893 [main] DEBUG c.p.a.AccountServiceApplication - Running with Spring Boot v3.3.6, Spring v6.1.15
2026-05-28 14:53:31.895 [main] INFO  c.p.a.AccountServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-28 14:53:33.284 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-28 14:53:33.539 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 242 ms. Found 7 JPA repository interfaces.
2026-05-28 14:53:34.391 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=b8c00fd3-dea6-3302-b880-8853128af5c3
2026-05-28 14:53:34.903 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2026-05-28 14:53:34.910 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-05-28 14:53:35.402 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 18080 (http)
2026-05-28 14:53:35.423 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-18080"]
2026-05-28 14:53:35.425 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-28 14:53:35.426 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2026-05-28 14:53:35.477 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-28 14:53:35.477 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3467 ms
2026-05-28 14:53:35.740 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-05-28 14:53:35.829 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2026-05-28 14:53:35.883 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-05-28 14:53:36.200 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-28 14:53:36.229 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-28 14:53:36.667 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6a8bcb64
2026-05-28 14:54:19.958 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-28 14:54:20.013 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-28 14:54:21.027 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-28 14:54:21.553 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-28 14:54:22.135 [main] DEBUG c.p.a.c.LegacyServicePrefixForwardingFilter - Filter 'legacyServicePrefixForwardingFilter' configured for use
2026-05-28 14:54:22.933 [main] INFO  c.p.i.c.ApplicationInitConfig - Init application....
2026-05-28 14:54:24.341 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2026-05-28 14:54:24.447 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-05-28 14:54:24.530 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-18080"]
2026-05-28 14:54:24.545 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 18080 (http) with context path '/'
2026-05-28 14:54:24.555 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2026-05-28 14:54:24.599 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#37846cc2:0/SimpleConnection@29ff01df [delegate=amqp://guest@127.0.0.1:5672/, localPort=57784]
2026-05-28 14:54:24.723 [main] INFO  c.p.a.AccountServiceApplication - Started AccountServiceApplication in 53.822 seconds (process running for 54.71)
2026-05-28 14:54:25.192 [main] WARN  c.p.i.c.ApplicationInitConfig - Admin user 'admin' has been created with default password. Please change it immediately!
2026-05-28 14:54:25.192 [main] INFO  c.p.i.c.ApplicationInitConfig - Application initialization completed.
